# Điểm trúng tuyển các năm của Trường Đại học Nha Trang
Source: https://tuyensinh.ntu.edu.vn/diem-trung-tuyen-cac-nam
## Bang 1
- TT | Mã ngành | Tên ngành, chương trình đào tạo | Điểm thi TN THPT 2025 | - | Điểm ĐGNL ĐHQG-HCM 2025 | Điểm ĐGNL ĐHQG-HN 2025 | Điểm điều kiện tiếng Anh (Học bạ THPT)
- TT | Mã ngành | Tên ngành, chương trình đào tạo | Tổ hợp có môn Toán hệ số 1 | Tổ hợp có môn Toán hệ số 2; hoặc Tiếng Anh hệ số 2 | Điểm ĐGNL ĐHQG-HCM 2025 | Điểm ĐGNL ĐHQG-HN 2025 | Điểm điều kiện tiếng Anh (Học bạ THPT)
- I | Chương trình đào tạo đặc biệt | - | - | - | - | - | -
- 7 | 7810103P | Quản trị dịch vụ du lịch và lữ hành (Chương trình song ngữ Pháp-Việt) | D01, D03, D96, D97 | 17,0 | - | TA; LS; ĐL; TP | 25 | - | 550 | -
- II | Chương trình chuẩn | - | - | - | - | - | - | - | - | -
- 8 | 7620303 | Khoa học thủy sản (02 chuyên ngành: Khai thác thủy sản, Khoa học thủy sản) | A00; A01; B00; D07 | 16,0 | - | TO; VL; HH; SH | 22 | - | 500 | -
- 9 | 7620305 | Quản lý thuỷ sản | A00; A01; B00; D07 | 16,0 | - | TO; VL; HH; SH | 22 | - | 500 | -
- 10 | 7620301 | Nuôi trồng thuỷ sản | A01; B00; D01; D07 | 16,0 | - | TO; VL; HH; SH | 22 | - | 500 | -
- 11 | 7420201 | Công nghệ sinh học | A00; A01; B00; D08 | 16,0 | - | TO; VL; HH; SH | 24 | - | 550 | -
- 12 | 7520320 | Kỹ thuật môi trường (02 chuyên ngành: Kỹ thuật môi trường; Quản lý môi trường và an toàn vệ sinh lao động) | A00; A01; B00; D08 | 16,0 | - | TO; VL; HH; SH | 22 | - | 500 | -
- 13 | 7520103 | Kỹ thuật cơ khí (02 chuyên ngành: Kỹ thuật cơ khí; Thiết kế và chế tạo số) | A00; A01; C01; D07 | 17,0 | - | TO; VL; HH; CN | 23 | - | 550 | -
- 14 | 7510202 | Công nghệ chế tạo máy | A00; A01; C01; D07 | 16,0 | - | TO; VL; HH; CN | 22 | - | 500 | -
- 15 | 7520114 | Kỹ thuật cơ điện tử | A00; A01; C01; D07 | 16,5 | - | TO; VL; HH; CN | 22 | - | 500 | -
- 16 | 7520115 | Kỹ thuật nhiệt | A00; A01; C01; D07 | 16,0 | - | TO; VL; HH; CN | 22 | - | 500 | -
- 17 | 7840106 | Khoa học hàng hải (02 chuyên ngành: Khoa học hàng hải; Quản lý hàng hải và Logistics) | A01; D01; D07; D90 | 20,5 | - | TO; VL; HH; CN | 28 | - | 600 | -
